"time","x","y"
1366067072000,-123.2653968,44.54962188
1366067074000,-123.26542599,44.54951009
1366067076000,-123.26547225,44.5492899
1366067077000,-123.26549654,44.54917343
1366067079000,-123.26554281,44.54891614
1366067080000,-123.26556555,44.54878695
1366067082000,-123.26560808,44.54851984
1366067083000,-123.26561995,44.54839196
1366067086000,-123.26565215,44.54800062
1366067089000,-123.26569247,44.54760721
1366067092000,-123.26574792,44.54722007
1366067095000,-123.26578896,44.54682917
1366067098000,-123.26582461,44.54645322
1366067101000,-123.26586197,44.54609782
1366067104000,-123.26589666,44.54579504
1366067105000,-123.26590807,44.54571401
1366067109000,-123.26593057,44.54549186
1366067111000,-123.26594982,44.54541613
1366067122000,-123.26595491,44.54535095
1366067135000,-123.26597049,44.54518109
1366067137000,-123.26599333,44.54501792
1366067139000,-123.26600236,44.54483693
1366067140000,-123.26601534,44.54473309
1366067142000,-123.26605076,44.54453012
1366067145000,-123.26608525,44.54419806
1366067148000,-123.26611214,44.54385608
1366067151000,-123.26614375,44.54348167
1366067154000,-123.26618797,44.5431001
1366067157000,-123.26622983,44.54272769
1366067160000,-123.26626606,44.5423464
1366067162000,-123.26628574,44.5420917
1366067163000,-123.26630186,44.54196771
1366067165000,-123.26632618,44.54170957
1366067166000,-123.26634178,44.54157733
1366067168000,-123.26635716,44.54131612
1366067169000,-123.26637671,44.54118596
1366067171000,-123.26640047,44.54091701
1366067172000,-123.26641868,44.54077296
1366067173000,-123.26643736,44.54063844
1366067174000,-123.26644412,44.54049204
1366067175000,-123.26646509,44.5403517
1366067176000,-123.26647582,44.5402058
1366067177000,-123.26649113,44.54005965
1366067178000,-123.26650648,44.53991332
1366067179000,-123.26651714,44.53976474
1366067180000,-123.26653307,44.53960766
1366067181000,-123.26655086,44.53946206
1366067182000,-123.26658852,44.53930491
1366067183000,-123.26659857,44.53917055
1366067184000,-123.26659745,44.53902043
1366067186000,-123.26664917,44.5387342
1366067188000,-123.26668718,44.53843455
1366067190000,-123.26672678,44.53814207
1366067192000,-123.26675634,44.5378427
1366067194000,-123.26679634,44.53754431
1366067196000,-123.26682742,44.53724028
1366067198000,-123.26685448,44.53693909
1366067200000,-123.26688895,44.53665138
1366067202000,-123.26692022,44.53634566
1366067204000,-123.26695427,44.53604737
1366067205000,-123.26696551,44.53590054
1366067206000,-123.26698494,44.53574854
1366067207000,-123.2670017,44.53559873
1366067208000,-123.26701926,44.53544296
1366067209000,-123.26703523,44.53529422
1366067210000,-123.26704312,44.53514364
1366067211000,-123.2670586,44.53499597
1366067212000,-123.26707128,44.53484068
1366067213000,-123.2670988,44.53468398
1366067214000,-123.26711722,44.53452707
1366067215000,-123.2671344,44.53438066
1366067216000,-123.26714814,44.53422102
1366067217000,-123.26715766,44.5340727
1366067218000,-123.26717965,44.53391346
1366067219000,-123.26719659,44.53377891
1366067220000,-123.26721917,44.5336297
1366067221000,-123.26723907,44.53347759
1366067222000,-123.2672618,44.53332867
1366067224000,-123.2673157,44.53303079
1366067226000,-123.26735503,44.5327368
1366067228000,-123.26738147,44.5324391
1366067230000,-123.2674151,44.5321552
1366067232000,-123.26743853,44.53187826
1366067234000,-123.26744424,44.53160656
1366067237000,-123.26746326,44.53122664
1366067240000,-123.2675081,44.53083601
1366067242000,-123.26754157,44.53056117
1366067244000,-123.26757076,44.5302729
1366067246000,-123.26761011,44.52999344
1366067248000,-123.26765207,44.52970039
1366067250000,-123.26770791,44.52941153
1366067252000,-123.26776413,44.5291118
1366067254000,-123.26779326,44.52881322
1366067256000,-123.26781256,44.52852564
1366067258000,-123.26783905,44.52821506
1366067260000,-123.26785862,44.52792227
1366067262000,-123.26787421,44.52763006
1366067264000,-123.26791075,44.52732672
1366067266000,-123.26793951,44.52700113
1366067268000,-123.26798464,44.52664881
1366067270000,-123.26800356,44.5263178
1366067272000,-123.26803836,44.52599413
1366067274000,-123.26806183,44.52570957
1366067276000,-123.26812024,44.52538351
1366067278000,-123.2681914,44.52492832
1366067280000,-123.26820723,44.52458001
1366067282000,-123.2682692,44.52418099
1366067284000,-123.26831116,44.52378889
1366067286000,-123.26832363,44.52343379
1366067287000,-123.26837467,44.52315362
1366067289000,-123.26843893,44.52270056
1366067291000,-123.26846951,44.52228757
1366067293000,-123.26850322,44.52184872
1366067295000,-123.2685453,44.52146518
1366067297000,-123.2686059,44.52103568
1366067299000,-123.26865746,44.52064332
1366067301000,-123.26868859,44.52021735
1366067303000,-123.26873203,44.51982596
1366067305000,-123.26879159,44.5194292
1366067307000,-123.26882603,44.51901272
1366067309000,-123.26885234,44.51861022
1366067311000,-123.26890242,44.51819673
1366067313000,-123.26893149,44.51780045
1366067315000,-123.26897624,44.51740318
1366067317000,-123.26902805,44.51699623
1366067319000,-123.26905345,44.51663066
1366067321000,-123.26907845,44.51621528
1366067323000,-123.26911866,44.51580423
1366067325000,-123.26916501,44.51542341
1366067327000,-123.26918917,44.51506471
1366067329000,-123.26924094,44.51466664
1366067331000,-123.26925848,44.51429637
1366067333000,-123.26928051,44.51389784
1366067335000,-123.26930765,44.51354382
1366067337000,-123.26935049,44.51318392
1366067339000,-123.26941652,44.51282517
1366067341000,-123.26941863,44.51248692
1366067343000,-123.26946991,44.51213166
1366067345000,-123.26948735,44.51178657
1366067347000,-123.26954343,44.51145848
1366067349000,-123.26955927,44.51107967
1366067351000,-123.26962467,44.5107418
1366067353000,-123.26963966,44.51041988
1366067355000,-123.2696979,44.51005794
1366067357000,-123.26971385,44.50963898
1366067359000,-123.2698249,44.509232
1366067361000,-123.26982347,44.50880905
1366067363000,-123.26987846,44.5084522
1366067366000,-123.26996621,44.5081139
1366067370000,-123.2702128,44.50787621
1366067374000,-123.27066785,44.50785883
1366067378000,-123.27111612,44.50786233
1366067381000,-123.27151837,44.50787287
1366067384000,-123.27191676,44.50788428
1366067388000,-123.27239609,44.50795795
1366067391000,-123.27284665,44.50795282
1366067394000,-123.27333535,44.50792506
1366067397000,-123.27379419,44.50793612
1366067400000,-123.27425046,44.50795839
1366067403000,-123.27467651,44.50799484
1366067406000,-123.27514714,44.50795784
1366067410000,-123.27568029,44.50797874
1366067413000,-123.27606637,44.50798024
1366067416000,-123.27650904,44.50797213
1366067419000,-123.27693933,44.50795682
1366067422000,-123.27732384,44.50798106
1366067425000,-123.27775075,44.5079768
1366067428000,-123.27822692,44.50799683
1366067431000,-123.27869918,44.50800772
1366067434000,-123.27920957,44.50800499
1366067437000,-123.2796613,44.50800863
1366067440000,-123.28016149,44.5080131
1366067442000,-123.28049185,44.50801404
1366067443000,-123.28066214,44.50800893
1366067445000,-123.28099296,44.50800161
1366067446000,-123.28118327,44.50800626
1366067447000,-123.28137336,44.50801754
1366067448000,-123.28156537,44.50799738
1366067450000,-123.28193886,44.50799524
1366067451000,-123.28211191,44.50800172
1366067453000,-123.2824819,44.50802556
1366067454000,-123.28266014,44.5080181
1366067456000,-123.2830382,44.5080026
1366067458000,-123.28342182,44.50801892
1366067461000,-123.28387671,44.50800218
1366067463000,-123.28416867,44.5080047
1366067464000,-123.28431939,44.5079849
1366067466000,-123.28458112,44.5079823
1366067467000,-123.28472501,44.50797998
1366067470000,-123.28500986,44.50801972
1366067472000,-123.28512373,44.50806444
1366067619000,-123.28529569,44.50779383
1366067622000,-123.28530725,44.50750753
1366067625000,-123.28530177,44.50718423
1366067628000,-123.28530171,44.50685807
1366067631000,-123.28530446,44.50655372
1366067634000,-123.28530304,44.50626772
1366067637000,-123.28530356,44.50598914
1366067640000,-123.28530931,44.50569692
1366067643000,-123.28531482,44.50539092
1366067646000,-123.285322,44.50507938
1366067649000,-123.28531355,44.50479598
1366067652000,-123.28520154,44.50452862
1366067656000,-123.28501689,44.50424677
1366067661000,-123.28494625,44.50395744
1366067683000,-123.28499372,44.50427312
1366067687000,-123.28518952,44.50457574
1366067690000,-123.28528259,44.50484167
1366067693000,-123.28528126,44.50515073
1366067696000,-123.28527731,44.50546418
1366067699000,-123.28528704,44.5057864
1366067702000,-123.28529865,44.50610547
1366067705000,-123.28529908,44.50641184
1366067708000,-123.28529543,44.50672686
1366067711000,-123.28529251,44.50704394
1366067714000,-123.28529733,44.50735341
1366067717000,-123.28530224,44.50763654
1366067722000,-123.28529372,44.50792583
1366067727000,-123.28571883,44.50799392
1366067730000,-123.28619153,44.50799372
1366067733000,-123.28671596,44.50800565
1366067736000,-123.28725073,44.50803753
1366067739000,-123.28779291,44.50810782
1366067741000,-123.28815997,44.50817088
1366067744000,-123.28869594,44.50828794
1366067746000,-123.2890606,44.50838101
1366067748000,-123.28942683,44.50848273
1366067750000,-123.28980364,44.508587
1366067752000,-123.29019785,44.50869271
1366067754000,-123.29060222,44.50878614
1366067756000,-123.29102174,44.50886056
1366067758000,-123.29145467,44.50893041
1366067760000,-123.29190466,44.50898019
1366067762000,-123.29235872,44.50900369
1366067764000,-123.29283125,44.50901495
1366067766000,-123.29330116,44.50901782
1366067768000,-123.29376741,44.50901577
1366067770000,-123.29422506,44.50901686
1366067772000,-123.29467811,44.50901543
1366067774000,-123.29513127,44.50901405
1366067776000,-123.29557586,44.50901132
1366067778000,-123.29601195,44.50900795
1366067780000,-123.29645616,44.50900589
1366067782000,-123.29690921,44.50900717
1366067784000,-123.29737067,44.50900886
1366067786000,-123.29784447,44.50900357
1366067788000,-123.29832146,44.50899047
1366067790000,-123.29879689,44.50895556
1366067792000,-123.2992733,44.50890909
1366067794000,-123.29974848,44.50884388
1366067796000,-123.30021398,44.50876641
1366067798000,-123.30067448,44.50867722
1366067800000,-123.30113502,44.50857236
1366067802000,-123.30159638,44.50844595
1366067804000,-123.30207027,44.50830474
1366067806000,-123.30258178,44.50813572
1366067808000,-123.30314826,44.50791338
1366067810000,-123.30374973,44.50764059
1366067812000,-123.30431989,44.50735051
1366067814000,-123.3048464,44.50705293
1366067816000,-123.3053446,44.50676578
1366067818000,-123.30581399,44.50650216
1366067820000,-123.30625349,44.50625199
1366067822000,-123.3066683,44.50601322
1366067824000,-123.30706462,44.50578766
1366067826000,-123.30744426,44.50557189
1366067828000,-123.30780813,44.5053674
1366067830000,-123.30814439,44.50517248
1366067832000,-123.30846886,44.50498766
1366067834000,-123.30877833,44.50480672
1366067836000,-123.30908201,44.50463343
1366067838000,-123.30939297,44.5044621
1366067840000,-123.30970771,44.50428902
1366067842000,-123.31001686,44.50411527
1366067844000,-123.31032783,44.50393777
